location_code,city,state,country,location_code_parent,country_iso_code,location_type
21157,"Missouri","United States","United States",2840,US,State
200604,"Columbia-Jefferson City","MO","Missouri",21157,US,DMA Region
1015922,"Missouri Valley","Iowa","United States",21145,US,City
1020160,"Adrian","Missouri","United States",21157,US,City
1020161,"Advance","Missouri","United States",21157,US,City
1020162,"Agency","Missouri","United States",21157,US,City
1020163,"Albany","Missouri","United States",21157,US,City
1020164,"Alma","Missouri","United States",21157,US,City
1020165,"Altenburg","Missouri","United States",21157,US,City
1020166,"Alton","Missouri","United States",21157,US,City
1020167,"Amoret","Missouri","United States",21157,US,City
1020168,"Anderson","Missouri","United States",21157,US,City
1020169,"Annapolis","Missouri","United States",21157,US,City
1020170,"Appleton City","Missouri","United States",21157,US,City
1020171,"Arbyrd","Missouri","United States",21157,US,City
1020172,"Arcadia","Missouri","United States",21157,US,City
1020173,"Archie","Missouri","United States",21157,US,City
1020174,"Arnold","Missouri","United States",21157,US,City
1020175,"Ash Grove","Missouri","United States",21157,US,City
1020176,"Ashland","Missouri","United States",21157,US,City
1020177,"Atlanta","Missouri","United States",21157,US,City
1020178,"Aurora","Missouri","United States",21157,US,City
1020179,"Auxvasse","Missouri","United States",21157,US,City
1020180,"Ava","Missouri","United States",21157,US,City
1020181,"Avilla","Missouri","United States",21157,US,City
1020182,"Bakersfield","Missouri","United States",21157,US,City
1020183,"Ballwin","Missouri","United States",21157,US,City
1020184,"Barnard","Missouri","United States",21157,US,City
1020185,"Barnhart","Missouri","United States",21157,US,City
1020186,"Bates City","Missouri","United States",21157,US,City
1020187,"Beaufort","Missouri","United States",21157,US,City
1020188,"Bell City","Missouri","United States",21157,US,City
1020189,"Belle","Missouri","United States",21157,US,City
1020190,"Belleview","Missouri","United States",21157,US,City
1020191,"Belton","Missouri","United States",21157,US,City
1020192,"Benton","Missouri","United States",21157,US,City
1020193,"Berger","Missouri","United States",21157,US,City
1020194,"Bernie","Missouri","United States",21157,US,City
1020195,"Bethany","Missouri","United States",21157,US,City
1020196,"Bevier","Missouri","United States",21157,US,City
1020197,"Billings","Missouri","United States",21157,US,City
1020198,"Bismarck","Missouri","United States",21157,US,City
1020199,"Blackwater","Missouri","United States",21157,US,City
1020200,"Bland","Missouri","United States",21157,US,City
1020201,"Bloomfield","Missouri","United States",21157,US,City
1020203,"Blue Springs","Missouri","United States",21157,US,City
1020204,"Bolivar","Missouri","United States",21157,US,City
1020205,"Bonne Terre","Missouri","United States",21157,US,City
